Section,SKU,Product ID,Product,Stock Qty,Wholesale Purchase Price / Unit (INR),Fixed Markup on Wholesale %,Target Selling Price After Bargaining (INR),Gross Profit / Unit (INR),Gross Margin on Selling Price %,Total Wholesale Cost for Stock (INR),Expected Revenue if All Stock Sold (INR),Expected Gross Profit if All Stock Sold (INR),Expense,Monthly Amount (INR),Basis,Category
PRODUCT QUOTATION,DIG-001,,DigiWorld AeroBook 14,23,46560.0,10.0,51216.0,4656.0,9.09,1070880.0,1177968.0,107088.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Laptop
PRODUCT QUOTATION,DIG-002,,DigiWorld ProBook 15,40,55290.0,10.0,60819.0,5529.0,9.09,2211600.0,2432760.0,221160.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Laptop
PRODUCT QUOTATION,DIG-003,,DigiWorld UltraBook 13,22,62080.0,10.0,68288.0,6208.0,9.09,1365760.0,1502336.0,136576.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Laptop
PRODUCT QUOTATION,DIG-004,,DigiWorld CreatorBook 16,22,72265.0,10.0,79491.5,7226.5,9.09,1589830.0,1748813.0,158983.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Laptop
PRODUCT QUOTATION,DIG-005,,DigiWorld Nova X,36,25220.0,10.0,27742.0,2522.0,9.09,907920.0,998712.0,90792.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Phone
PRODUCT QUOTATION,DIG-006,,DigiWorld Nova Pro,32,33950.0,10.0,37345.0,3395.0,9.09,1086400.0,1195040.0,108640.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Phone
PRODUCT QUOTATION,DIG-007,,DigiWorld Edge Max,10,46560.0,10.0,51216.0,4656.0,9.09,465600.0,512160.0,46560.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Phone
PRODUCT QUOTATION,DIG-008,,DigiWorld Bass ANC,27,4171.0,10.0,4588.1,417.1,9.09,112617.0,123878.7,11261.7,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Headphones
PRODUCT QUOTATION,DIG-009,,DigiWorld Studio Pro,26,7663.0,10.0,8429.3,766.3,9.09,199238.0,219161.8,19923.8,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Headphones
PRODUCT QUOTATION,DIG-010,,DigiWorld Fit Active,29,4171.0,10.0,4588.1,417.1,9.09,120959.0,133054.9,12095.9,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Watch
PRODUCT QUOTATION,DIG-011,,DigiWorld Prime,29,7663.0,10.0,8429.3,766.3,9.09,222227.0,244449.7,22222.7,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Watch
PRODUCT QUOTATION,DIG-012,,DigiWorld Snap Pro,31,33465.0,10.0,36811.5,3346.5,9.09,1037415.0,1141156.5,103741.5,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Camera
