Section,SKU,Product ID,Product,Stock Qty,Wholesale Purchase Price / Unit (INR),Fixed Markup on Wholesale %,Target Selling Price After Bargaining (INR),Gross Profit / Unit (INR),Gross Margin on Selling Price %,Total Wholesale Cost for Stock (INR),Expected Revenue if All Stock Sold (INR),Expected Gross Profit if All Stock Sold (INR),Expense,Monthly Amount (INR),Basis,Category
PRODUCT QUOTATION,ELE-001,,ElectroStore AeroBook 14,27,46560.0,10.0,51216.0,4656.0,9.09,1257120.0,1382832.0,125712.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Laptop
PRODUCT QUOTATION,ELE-002,,ElectroStore ProBook 15,25,55290.0,10.0,60819.0,5529.0,9.09,1382250.0,1520475.0,138225.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Laptop
PRODUCT QUOTATION,ELE-003,,ElectroStore UltraBook 13,15,62080.0,10.0,68288.0,6208.0,9.09,931200.0,1024320.0,93120.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Laptop
PRODUCT QUOTATION,ELE-004,,ElectroStore CreatorBook 16,37,72265.0,10.0,79491.5,7226.5,9.09,2673805.0,2941185.5,267380.5,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Laptop
PRODUCT QUOTATION,ELE-005,,ElectroStore Nova X,32,25220.0,10.0,27742.0,2522.0,9.09,807040.0,887744.0,80704.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Phone
PRODUCT QUOTATION,ELE-006,,ElectroStore Nova Pro,34,33950.0,10.0,37345.0,3395.0,9.09,1154300.0,1269730.0,115430.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Phone
PRODUCT QUOTATION,ELE-007,,ElectroStore Edge Max,32,46560.0,10.0,51216.0,4656.0,9.09,1489920.0,1638912.0,148992.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Phone
PRODUCT QUOTATION,ELE-008,,ElectroStore Bass ANC,34,4171.0,10.0,4588.1,417.1,9.09,141814.0,155995.4,14181.4,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Headphones
PRODUCT QUOTATION,ELE-009,,ElectroStore Studio Pro,22,7663.0,10.0,8429.3,766.3,9.09,168586.0,185444.6,16858.6,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Headphones
PRODUCT QUOTATION,ELE-010,,ElectroStore Fit Active,22,4171.0,10.0,4588.1,417.1,9.09,91762.0,100938.2,9176.2,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Watch
PRODUCT QUOTATION,ELE-011,,ElectroStore Prime,37,7663.0,10.0,8429.3,766.3,9.09,283531.0,311884.1,28353.1,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Watch
PRODUCT QUOTATION,ELE-012,,ElectroStore Snap Pro,18,33465.0,10.0,36811.5,3346.5,9.09,602370.0,662607.0,60237.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Camera
PRODUCT QUOTATION,ELE-013,,ElectroStore Creator X,20,50925.0,10.0,56017.5,5092.5,9.09,1018500.0,1120350.0,101850.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Camera
PRODUCT QUOTATION,ELE-014,,ElectroStore Mechanical Pro,17,4171.0,10.0,4588.1,417.1,9.09,70907.0,77997.7,7090.7,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Keyboard
PRODUCT QUOTATION,ELE-015,,ElectroStore Ergo Pro,19,1697.5,10.0,1867.25,169.75,9.09,32252.5,35477.75,3225.25,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Mouse
PRODUCT QUOTATION,ELE-016,,ElectroStore View 27,36,14259.0,10.0,15684.9,1425.9,9.09,513324.0,564656.4,51332.4,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Monitor
PRODUCT QUOTATION,ELE-017,,ElectroStore UltraView 32,25,25220.0,10.0,27742.0,2522.0,9.09,630500.0,693550.0,63050.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Monitor
PRODUCT QUOTATION,ELE-018,,ElectroStore Tab Air,27,16781.0,10.0,18459.1,1678.1,9.09,453087.0,498395.7,45308.7,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Tablet
