Section,SKU,Product ID,Product,Stock Qty,Wholesale Purchase Price / Unit (INR),Fixed Markup on Wholesale %,Target Selling Price After Bargaining (INR),Gross Profit / Unit (INR),Gross Margin on Selling Price %,Total Wholesale Cost for Stock (INR),Expected Revenue if All Stock Sold (INR),Expected Gross Profit if All Stock Sold (INR),Expense,Monthly Amount (INR),Basis,Category
PRODUCT QUOTATION,LAP-001,,LaptopHub AeroBook 14,11,46560.0,10.0,51216.0,4656.0,9.09,512160.0,563376.0,51216.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Laptop
PRODUCT QUOTATION,LAP-002,,LaptopHub ProBook 15,19,55290.0,10.0,60819.0,5529.0,9.09,1050510.0,1155561.0,105051.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Laptop
PRODUCT QUOTATION,LAP-003,,LaptopHub UltraBook 13,17,62080.0,10.0,68288.0,6208.0,9.09,1055360.0,1160896.0,105536.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Laptop
PRODUCT QUOTATION,LAP-004,,LaptopHub CreatorBook 16,12,72265.0,10.0,79491.5,7226.5,9.09,867180.0,953898.0,86718.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Laptop
PRODUCT QUOTATION,LAP-005,,LaptopHub Nova X,38,25220.0,10.0,27742.0,2522.0,9.09,958360.0,1054196.0,95836.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Phone
PRODUCT QUOTATION,LAP-006,,LaptopHub Nova Pro,33,33950.0,10.0,37345.0,3395.0,9.09,1120350.0,1232385.0,112035.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Phone
PRODUCT QUOTATION,LAP-007,,LaptopHub Edge Max,11,46560.0,10.0,51216.0,4656.0,9.09,512160.0,563376.0,51216.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Phone
PRODUCT QUOTATION,LAP-008,,LaptopHub Bass ANC,40,4171.0,10.0,4588.1,417.1,9.09,166840.0,183524.0,16684.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Headphones
PRODUCT QUOTATION,LAP-009,,LaptopHub Studio Pro,39,7663.0,10.0,8429.3,766.3,9.09,298857.0,328742.7,29885.7,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Headphones
PRODUCT QUOTATION,LAP-010,,LaptopHub Fit Active,10,4171.0,10.0,4588.1,417.1,9.09,41710.0,45881.0,4171.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Watch
PRODUCT QUOTATION,LAP-011,,LaptopHub Prime,35,7663.0,10.0,8429.3,766.3,9.09,268205.0,295025.5,26820.5,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Watch
PRODUCT QUOTATION,LAP-012,,LaptopHub Snap Pro,29,33465.0,10.0,36811.5,3346.5,9.09,970485.0,1067533.5,97048.5,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Camera
PRODUCT QUOTATION,LAP-013,,LaptopHub Creator X,28,50925.0,10.0,56017.5,5092.5,9.09,1425900.0,1568490.0,142590.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Camera
PRODUCT QUOTATION,LAP-014,,LaptopHub Mechanical Pro,14,4171.0,10.0,4588.1,417.1,9.09,58394.0,64233.4,5839.4,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Keyboard
