Section,SKU,Product ID,Product,Stock Qty,Wholesale Purchase Price / Unit (INR),Fixed Markup on Wholesale %,Target Selling Price After Bargaining (INR),Gross Profit / Unit (INR),Gross Margin on Selling Price %,Total Wholesale Cost for Stock (INR),Expected Revenue if All Stock Sold (INR),Expected Gross Profit if All Stock Sold (INR),Expense,Monthly Amount (INR),Basis,Category
PRODUCT QUOTATION,SMA-001,,SmartBuy AeroBook 14,12,46560.0,10.0,51216.0,4656.0,9.09,558720.0,614592.0,55872.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Laptop
PRODUCT QUOTATION,SMA-002,,SmartBuy ProBook 15,26,55290.0,10.0,60819.0,5529.0,9.09,1437540.0,1581294.0,143754.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Laptop
PRODUCT QUOTATION,SMA-003,,SmartBuy UltraBook 13,31,62080.0,10.0,68288.0,6208.0,9.09,1924480.0,2116928.0,192448.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Laptop
PRODUCT QUOTATION,SMA-004,,SmartBuy CreatorBook 16,24,72265.0,10.0,79491.5,7226.5,9.09,1734360.0,1907796.0,173436.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Laptop
PRODUCT QUOTATION,SMA-005,,SmartBuy Nova X,26,25220.0,10.0,27742.0,2522.0,9.09,655720.0,721292.0,65572.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Phone
PRODUCT QUOTATION,SMA-006,,SmartBuy Nova Pro,12,33950.0,10.0,37345.0,3395.0,9.09,407400.0,448140.0,40740.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Phone
PRODUCT QUOTATION,SMA-007,,SmartBuy Edge Max,11,46560.0,10.0,51216.0,4656.0,9.09,512160.0,563376.0,51216.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Phone
PRODUCT QUOTATION,SMA-008,,SmartBuy Bass ANC,11,4171.0,10.0,4588.1,417.1,9.09,45881.0,50469.1,4588.1,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Headphones
PRODUCT QUOTATION,SMA-009,,SmartBuy Studio Pro,32,7663.0,10.0,8429.3,766.3,9.09,245216.0,269737.6,24521.6,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Headphones
PRODUCT QUOTATION,SMA-010,,SmartBuy Fit Active,33,4171.0,10.0,4588.1,417.1,9.09,137643.0,151407.3,13764.3,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Watch
