Section,SKU,Product ID,Product,Stock Qty,Wholesale Purchase Price / Unit (INR),Fixed Markup on Wholesale %,Target Selling Price After Bargaining (INR),Gross Profit / Unit (INR),Gross Margin on Selling Price %,Total Wholesale Cost for Stock (INR),Expected Revenue if All Stock Sold (INR),Expected Gross Profit if All Stock Sold (INR),Expense,Monthly Amount (INR),Basis,Category
PRODUCT QUOTATION,TEC-001,,TechMart AeroBook 14,32,46560.0,10.0,51216.0,4656.0,9.09,1489920.0,1638912.0,148992.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Laptop
PRODUCT QUOTATION,TEC-002,,TechMart ProBook 15,19,55290.0,10.0,60819.0,5529.0,9.09,1050510.0,1155561.0,105051.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Laptop
PRODUCT QUOTATION,TEC-003,,TechMart UltraBook 13,35,62080.0,10.0,68288.0,6208.0,9.09,2172800.0,2390080.0,217280.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Laptop
PRODUCT QUOTATION,TEC-004,,TechMart CreatorBook 16,15,72265.0,10.0,79491.5,7226.5,9.09,1083975.0,1192372.5,108397.5,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Laptop
PRODUCT QUOTATION,TEC-005,,TechMart Nova X,17,25220.0,10.0,27742.0,2522.0,9.09,428740.0,471614.0,42874.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Phone
PRODUCT QUOTATION,TEC-006,,TechMart Nova Pro,21,33950.0,10.0,37345.0,3395.0,9.09,712950.0,784245.0,71295.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Phone
PRODUCT QUOTATION,TEC-007,,TechMart Edge Max,12,46560.0,10.0,51216.0,4656.0,9.09,558720.0,614592.0,55872.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Phone
PRODUCT QUOTATION,TEC-008,,TechMart Bass ANC,39,4171.0,10.0,4588.1,417.1,9.09,162669.0,178935.9,16266.9,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Headphones
PRODUCT QUOTATION,TEC-009,,TechMart Studio Pro,11,7663.0,10.0,8429.3,766.3,9.09,84293.0,92722.3,8429.3,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Headphones
PRODUCT QUOTATION,TEC-010,,TechMart Fit Active,34,4171.0,10.0,4588.1,417.1,9.09,141814.0,155995.4,14181.4,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Watch
PRODUCT QUOTATION,TEC-011,,TechMart Prime,24,7663.0,10.0,8429.3,766.3,9.09,183912.0,202303.2,18391.2,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Watch
PRODUCT QUOTATION,TEC-012,,TechMart Snap Pro,27,33465.0,10.0,36811.5,3346.5,9.09,903555.0,993910.5,90355.5,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Camera
PRODUCT QUOTATION,TEC-013,,TechMart Creator X,13,50925.0,10.0,56017.5,5092.5,9.09,662025.0,728227.5,66202.5,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Camera
PRODUCT QUOTATION,TEC-014,,TechMart Mechanical Pro,10,4171.0,10.0,4588.1,417.1,9.09,41710.0,45881.0,4171.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Keyboard
PRODUCT QUOTATION,TEC-015,,TechMart Ergo Pro,36,1697.5,10.0,1867.25,169.75,9.09,61110.0,67221.0,6111.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Mouse
PRODUCT QUOTATION,TEC-016,,TechMart View 27,35,14259.0,10.0,15684.9,1425.9,9.09,499065.0,548971.5,49906.5,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Monitor
PRODUCT QUOTATION,TEC-017,,TechMart UltraView 32,15,25220.0,10.0,27742.0,2522.0,9.09,378300.0,416130.0,37830.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Monitor
PRODUCT QUOTATION,TEC-018,,TechMart Tab Air,20,16781.0,10.0,18459.1,1678.1,9.09,335620.0,369182.0,33562.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Tablet
PRODUCT QUOTATION,TEC-019,,TechMart Tab Pro,14,27645.0,10.0,30409.5,2764.5,9.09,387030.0,425733.0,38703.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Tablet
PRODUCT QUOTATION,TEC-020,,TechMart Sound Pro,11,5868.5,10.0,6455.35,586.85,9.09,64553.5,71008.85,6455.35,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Speaker
PRODUCT QUOTATION,TEC-021,,TechMart GamePad X,12,3298.0,10.0,3627.8,329.8,9.09,39576.0,43533.6,3957.6,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Gaming
PRODUCT QUOTATION,TEC-022,,TechMart GameStation,31,41710.0,10.0,45881.0,4171.0,9.09,1293010.0,1422311.0,129301.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Gaming
PRODUCT QUOTATION,TEC-023,,TechMart Vision 55,33,41710.0,10.0,45881.0,4171.0,9.09,1376430.0,1514073.0,137643.0,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,TV
PRODUCT QUOTATION,TEC-024,,TechMart Laptop Carry,27,1697.5,10.0,1867.25,169.75,9.09,45832.5,50415.75,4583.25,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Bag
PRODUCT QUOTATION,TEC-025,,TechMart Mesh Pro,36,4995.5,10.0,5495.05,499.55,9.09,179838.0,197821.8,17983.8,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Router
PRODUCT QUOTATION,TEC-026,,TechMart PowerBoost 20000,20,2114.6,10.0,2326.06,211.46,9.09,42292.0,46521.2,4229.2,,,Derived from inventory stock; wholesale economics follow the supplied quotation template,Power
