Section,SKU,Product ID,Product,Stock Qty,Wholesale Purchase Price / Unit (INR),Fixed Markup on Wholesale %,Target Selling Price After Bargaining (INR),Gross Profit / Unit (INR),Gross Margin on Selling Price %,Total Wholesale Cost for Stock (INR),Expected Revenue if All Stock Sold (INR),Expected Gross Profit if All Stock Sold (INR),Expense,Monthly Amount (INR),Basis,Category
PRODUCT QUOTATION,DIG-001,11001.0,DigiWorld AeroBook 14,23.0,49272.73,10.0,54200.0,4927.27,9.09,1133272.79,1246600.0,113327.21,,,,Laptop
PRODUCT QUOTATION,DIG-002,11002.0,DigiWorld ProBook 15,40.0,58181.82,10.0,64000.0,5818.18,9.09,2327272.8,2560000.0,232727.2,,,,Laptop
PRODUCT QUOTATION,DIG-003,11003.0,DigiWorld UltraBook 13,22.0,65363.64,10.0,71900.0,6536.36,9.09,1438000.08,1581800.0,143799.92,,,,Laptop
PRODUCT QUOTATION,DIG-004,11004.0,DigiWorld CreatorBook 16,22.0,76090.91,10.0,83700.0,7609.09,9.09,1674000.02,1841400.0,167399.98,,,,Laptop
PRODUCT QUOTATION,DIG-005,11005.0,DigiWorld Nova X,36.0,26818.18,10.0,29500.0,2681.82,9.09,965454.48,1062000.0,96545.52,,,,Phone
PRODUCT QUOTATION,DIG-006,11006.0,DigiWorld Nova Pro,32.0,35818.18,10.0,39400.0,3581.82,9.09,1146181.76,1260800.0,114618.24,,,,Phone
PRODUCT QUOTATION,DIG-007,11007.0,DigiWorld Edge Max,10.0,49272.73,10.0,54200.0,4927.27,9.09,492727.3,542000.0,49272.7,,,,Phone
PRODUCT QUOTATION,DIG-008,11008.0,DigiWorld Bass ANC,27.0,4454.55,10.0,4900.01,445.46,9.09,120272.85,132300.27,12027.42,,,,Headphones
PRODUCT QUOTATION,DIG-009,11009.0,DigiWorld Studio Pro,26.0,8090.91,10.0,8900.0,809.09,9.09,210363.66,231400.0,21036.34,,,,Headphones
PRODUCT QUOTATION,DIG-010,11010.0,DigiWorld Fit Active,29.0,4454.55,10.0,4900.01,445.46,9.09,129181.95,142100.29,12918.34,,,,Watch
PRODUCT QUOTATION,DIG-011,11011.0,DigiWorld Prime,29.0,8090.91,10.0,8900.0,809.09,9.09,234636.39,258100.0,23463.61,,,,Watch
PRODUCT QUOTATION,DIG-012,11012.0,DigiWorld Snap Pro,31.0,35818.18,10.0,39400.0,3581.82,9.09,1110363.58,1221400.0,111036.42,,,,Camera
PRODUCT QUOTATION,DIG-013,11013.0,DigiWorld Creator X,21.0,53727.27,10.0,59100.0,5372.73,9.09,1128272.67,1241100.0,112827.33,,,,Camera
PRODUCT QUOTATION,DIG-014,11014.0,DigiWorld Mechanical Pro,34.0,4454.55,10.0,4900.01,445.46,9.09,151454.7,166600.34,15145.64,,,,Keyboard
PRODUCT QUOTATION,DIG-015,11015.0,DigiWorld Ergo Pro,17.0,1818.18,10.0,2000.0,181.82,9.09,30909.06,34000.0,3090.94,,,,Mouse
PRODUCT QUOTATION,DIG-016,11016.0,DigiWorld View 27,12.0,15181.82,10.0,16700.0,1518.18,9.09,182181.84,200400.0,18218.16,,,,Monitor
PRODUCT QUOTATION,DIG-017,11017.0,DigiWorld UltraView 32,21.0,26818.18,10.0,29500.0,2681.82,9.09,563181.78,619500.0,56318.22,,,,Monitor
PRODUCT QUOTATION,DIG-018,11018.0,DigiWorld Tab Air,11.0,17909.09,10.0,19700.0,1790.91,9.09,196999.99,216700.0,19700.01,,,,Tablet
PRODUCT QUOTATION,DIG-019,11019.0,DigiWorld Tab Pro,38.0,29545.45,10.0,32500.0,2954.55,9.09,1122727.1,1235000.0,112272.9,,,,Tablet
PRODUCT QUOTATION,DIG-020,11020.0,DigiWorld Sound Pro,23.0,6272.73,10.0,6900.0,627.27,9.09,144272.79,158700.0,14427.21,,,,Speaker
PRODUCT QUOTATION,DIG-021,11021.0,DigiWorld GamePad X,28.0,3545.45,10.0,3900.0,354.55,9.09,99272.6,109200.0,9927.4,,,,Gaming
PRODUCT QUOTATION,DIG-022,11022.0,DigiWorld GameStation,25.0,44727.27,10.0,49200.0,4472.73,9.09,1118181.75,1230000.0,111818.25,,,,Gaming
PRODUCT QUOTATION,DIG-023,11023.0,DigiWorld Vision 55,31.0,44727.27,10.0,49200.0,4472.73,9.09,1386545.37,1525200.0,138654.63,,,,TV
PRODUCT QUOTATION,DIG-024,11024.0,DigiWorld Laptop Carry,15.0,1818.18,10.0,2000.0,181.82,9.09,27272.7,30000.0,2727.3,,,,Bag
PRODUCT QUOTATION,DIG-025,11025.0,DigiWorld Mesh Pro,24.0,5363.64,10.0,5900.0,536.36,9.09,128727.36,141600.0,12872.64,,,,Router
PRODUCT QUOTATION,DIG-026,11026.0,DigiWorld PowerBoost 20000,25.0,2272.73,10.0,2500.0,227.27,9.09,56818.25,62500.0,5681.75,,,,Power
WARRANTY OPTIONS,,,,,,,,,,,,Category,1-Year Extended (INR),2-Year Extended (INR),,
WARRANTY OPTIONS,,,,,,,,,,,,Laptop,499,899,,
WARRANTY OPTIONS,,,,,,,,,,,,Phone,299,549,,
WARRANTY OPTIONS,,,,,,,,,,,,Camera,399,699,,
WARRANTY OPTIONS,,,,,,,,,,,,Gaming,249,449,,
WARRANTY OPTIONS,,,,,,,,,,,,TV,599,999,,
WARRANTY OPTIONS,,,,,,,,,,,,Tablet,349,599,,
WARRANTY OPTIONS,,,,,,,,,,,,Monitor,299,499,,
