Section,SKU,Product ID,Product,Stock Qty,Wholesale Purchase Price / Unit (INR),Fixed Markup on Wholesale %,Target Selling Price After Bargaining (INR),Gross Profit / Unit (INR),Gross Margin on Selling Price %,Total Wholesale Cost for Stock (INR),Expected Revenue if All Stock Sold (INR),Expected Gross Profit if All Stock Sold (INR),Expense,Monthly Amount (INR),Basis,Category
PRODUCT QUOTATION,ELE-001,13001.0,ElectroStore AeroBook 14,27.0,50272.73,10.0,55300.0,5027.27,9.09,1357363.71,1493100.0,135736.29,,,,Laptop
PRODUCT QUOTATION,ELE-002,13002.0,ElectroStore ProBook 15,25.0,59363.64,10.0,65300.0,5936.36,9.09,1484091.0,1632500.0,148409.0,,,,Laptop
PRODUCT QUOTATION,ELE-003,13003.0,ElectroStore UltraBook 13,15.0,66727.27,10.0,73400.0,6672.73,9.09,1000909.05,1101000.0,100090.95,,,,Laptop
PRODUCT QUOTATION,ELE-004,13004.0,ElectroStore CreatorBook 16,37.0,77636.36,10.0,85400.0,7763.64,9.09,2872545.32,3159800.0,287254.68,,,,Laptop
PRODUCT QUOTATION,ELE-005,13005.0,ElectroStore Nova X,32.0,27363.64,10.0,30100.0,2736.36,9.09,875636.48,963200.0,87563.52,,,,Phone
PRODUCT QUOTATION,ELE-006,13006.0,ElectroStore Nova Pro,34.0,36545.45,10.0,40200.0,3654.55,9.09,1242545.3,1366800.0,124254.7,,,,Phone
PRODUCT QUOTATION,ELE-007,13007.0,ElectroStore Edge Max,32.0,50272.73,10.0,55300.0,5027.27,9.09,1608727.36,1769600.0,160872.64,,,,Phone
PRODUCT QUOTATION,ELE-008,13008.0,ElectroStore Bass ANC,34.0,4545.45,10.0,5000.0,454.55,9.09,154545.3,170000.0,15454.7,,,,Headphones
PRODUCT QUOTATION,ELE-009,13009.0,ElectroStore Studio Pro,22.0,8181.82,10.0,9000.0,818.18,9.09,180000.04,198000.0,17999.96,,,,Headphones
PRODUCT QUOTATION,ELE-010,13010.0,ElectroStore Fit Active,22.0,4545.45,10.0,5000.0,454.55,9.09,99999.9,110000.0,10000.1,,,,Watch
PRODUCT QUOTATION,ELE-011,13011.0,ElectroStore Prime,37.0,8181.82,10.0,9000.0,818.18,9.09,302727.34,333000.0,30272.66,,,,Watch
PRODUCT QUOTATION,ELE-012,13012.0,ElectroStore Snap Pro,18.0,36545.45,10.0,40200.0,3654.55,9.09,657818.1,723600.0,65781.9,,,,Camera
PRODUCT QUOTATION,ELE-013,13013.0,ElectroStore Creator X,20.0,54818.18,10.0,60300.0,5481.82,9.09,1096363.6,1206000.0,109636.4,,,,Camera
PRODUCT QUOTATION,ELE-014,13014.0,ElectroStore Mechanical Pro,17.0,4545.45,10.0,5000.0,454.55,9.09,77272.65,85000.0,7727.35,,,,Keyboard
PRODUCT QUOTATION,ELE-015,13015.0,ElectroStore Ergo Pro,19.0,1818.18,10.0,2000.0,181.82,9.09,34545.42,38000.0,3454.58,,,,Mouse
PRODUCT QUOTATION,ELE-016,13016.0,ElectroStore View 27,36.0,15545.45,10.0,17100.0,1554.55,9.09,559636.2,615600.0,55963.8,,,,Monitor
PRODUCT QUOTATION,ELE-017,13017.0,ElectroStore UltraView 32,25.0,27363.64,10.0,30100.0,2736.36,9.09,684091.0,752500.0,68409.0,,,,Monitor
PRODUCT QUOTATION,ELE-018,13018.0,ElectroStore Tab Air,27.0,18272.73,10.0,20100.0,1827.27,9.09,493363.71,542700.0,49336.29,,,,Tablet
PRODUCT QUOTATION,ELE-019,13019.0,ElectroStore Tab Pro,26.0,30181.82,10.0,33200.0,3018.18,9.09,784727.32,863200.0,78472.68,,,,Tablet
PRODUCT QUOTATION,ELE-020,13020.0,ElectroStore Sound Pro,20.0,6363.64,10.0,7000.0,636.36,9.09,127272.8,140000.0,12727.2,,,,Speaker
PRODUCT QUOTATION,ELE-021,13021.0,ElectroStore GamePad X,19.0,3636.36,10.0,4000.0,363.64,9.09,69090.84,76000.0,6909.16,,,,Gaming
PRODUCT QUOTATION,ELE-022,13022.0,ElectroStore GameStation,26.0,45636.36,10.0,50200.0,4563.64,9.09,1186545.36,1305200.0,118654.64,,,,Gaming
PRODUCT QUOTATION,ELE-023,13023.0,ElectroStore Vision 55,12.0,45636.36,10.0,50200.0,4563.64,9.09,547636.32,602400.0,54763.68,,,,TV
PRODUCT QUOTATION,ELE-024,13024.0,ElectroStore Laptop Carry,16.0,1818.18,10.0,2000.0,181.82,9.09,29090.88,32000.0,2909.12,,,,Bag
PRODUCT QUOTATION,ELE-025,13025.0,ElectroStore Mesh Pro,20.0,5454.55,10.0,6000.01,545.46,9.09,109091.0,120000.2,10909.2,,,,Router
PRODUCT QUOTATION,ELE-026,13026.0,ElectroStore PowerBoost 20000,13.0,2272.73,10.0,2500.0,227.27,9.09,29545.49,32500.0,2954.51,,,,Power
WARRANTY OPTIONS,,,,,,,,,,,,Category,1-Year Extended (INR),2-Year Extended (INR),,
WARRANTY OPTIONS,,,,,,,,,,,,Laptop,499,899,,
WARRANTY OPTIONS,,,,,,,,,,,,Phone,299,549,,
WARRANTY OPTIONS,,,,,,,,,,,,Camera,399,699,,
WARRANTY OPTIONS,,,,,,,,,,,,Gaming,249,449,,
WARRANTY OPTIONS,,,,,,,,,,,,TV,599,999,,
WARRANTY OPTIONS,,,,,,,,,,,,Tablet,349,599,,
WARRANTY OPTIONS,,,,,,,,,,,,Monitor,299,499,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Primary Category,Recommended Bundle SKU(s),Notes,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Laptop,"Ergo Pro (Mouse), Laptop Carry (Bag)",Pair with any laptop purchase to sweeten an offer without cutting price,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Phone,PowerBoost 20000 (Power Bank),Useful gift-with-purchase for phone buyers,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Camera,"Laptop Carry (Bag, repurposed as camera bag)",No dedicated camera bag SKU yet; existing bag works as a stopgap bundle item,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Gaming,GamePad X (for GameStation purchases),Cross-sell within the gaming category,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Tablet,PowerBoost 20000 (Power Bank),Extends tablet battery life on the go,,
PROFITABILITY SUMMARY,,,,,,,,,,,,TOTAL STOCK UNITS,631,All products,,
PROFITABILITY SUMMARY,,,,,,,,,,,,TOTAL WHOLESALE INVENTORY COST,17665181.49,Cost of current listed stock,,
PROFITABILITY SUMMARY,,,,,,,,,,,,TOTAL EXPECTED SALES REVENUE,19431700.2,If all current stock sells at target price,,
PROFITABILITY SUMMARY,,,,,,,,,,,,TOTAL GROSS PROFIT BEFORE SHOP EXPENSES,1766518.71,10% markup on wholesale cost,,
PROFITABILITY SUMMARY,,,,,,,,,,,,MONTHLY SHOP OPERATING EXPENSES,175000,Assumptions below,,
PROFITABILITY SUMMARY,,,,,,,,,,,,AVERAGE MONTHLY OVERHEAD PER CURRENT STOCK UNIT,277.34,Monthly expenses / 631 units,,
PROFITABILITY SUMMARY,,,,,,,,,,,,NET PROFIT AFTER MONTHLY SHOP EXPENSES,1591518.71,Only if all current stock sells within the month,,
PROFITABILITY SUMMARY,,,,,,,,,,,,NET PROFIT MARGIN,8.19,Net profit / expected revenue,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Shop rent / lease,60000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Electricity,12000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Internet + phone,2000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Shop staff salaries,50000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Security / housekeeping,10000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Shop maintenance / repairs,10000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Packaging / bags / consumables,5000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Local transport / delivery,8000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Marketing / promotions,10000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,POS / software / subscriptions,3000,Monthly assumption,,
