Section,SKU,Product ID,Product,Stock Qty,Wholesale Purchase Price / Unit (INR),Fixed Markup on Wholesale %,Target Selling Price After Bargaining (INR),Gross Profit / Unit (INR),Gross Margin on Selling Price %,Total Wholesale Cost for Stock (INR),Expected Revenue if All Stock Sold (INR),Expected Gross Profit if All Stock Sold (INR),Expense,Monthly Amount (INR),Basis,Category
PRODUCT QUOTATION,GAD-001,17001.0,GadgetHub AeroBook 14,21.0,49920.0,10.0,54912.0,4992.0,9.09,1048320.0,1153152.0,104832.0,,,,Laptop
PRODUCT QUOTATION,GAD-002,17002.0,GadgetHub ProBook 15,28.0,59280.0,10.0,65208.0,5928.0,9.09,1659840.0,1825824.0,165984.0,,,,Laptop
PRODUCT QUOTATION,GAD-003,17003.0,GadgetHub UltraBook 13,35.0,66560.0,10.0,73216.0,6656.0,9.09,2329600.0,2562560.0,232960.0,,,,Laptop
PRODUCT QUOTATION,GAD-004,17004.0,GadgetHub CreatorBook 16,12.0,77480.0,10.0,85228.0,7748.0,9.09,929760.0,1022736.0,92976.0,,,,Laptop
PRODUCT QUOTATION,GAD-005,17005.0,GadgetHub Nova X,19.0,27040.0,10.0,29744.0,2704.0,9.09,513760.0,565136.0,51376.0,,,,Phone
PRODUCT QUOTATION,GAD-006,17006.0,GadgetHub Nova Pro,26.0,36400.0,10.0,40040.0,3640.0,9.09,946400.0,1041040.0,94640.0,,,,Phone
PRODUCT QUOTATION,GAD-007,17007.0,GadgetHub Edge Max,33.0,49920.0,10.0,54912.0,4992.0,9.09,1647360.0,1812096.0,164736.0,,,,Phone
PRODUCT QUOTATION,GAD-008,17008.0,GadgetHub Bass ANC,10.0,4472.0,10.0,4919.2,447.2,9.09,44720.0,49192.0,4472.0,,,,Headphones
PRODUCT QUOTATION,GAD-009,17009.0,GadgetHub Studio Pro,17.0,8216.0,10.0,9037.6,821.6,9.09,139672.0,153639.2,13967.2,,,,Headphones
PRODUCT QUOTATION,GAD-010,17010.0,GadgetHub Fit Active,24.0,4472.0,10.0,4919.2,447.2,9.09,107328.0,118060.8,10732.8,,,,Watch
PRODUCT QUOTATION,GAD-011,17011.0,GadgetHub Prime,31.0,8216.0,10.0,9037.6,821.6,9.09,254696.0,280165.6,25469.6,,,,Watch
PRODUCT QUOTATION,GAD-012,17012.0,GadgetHub Snap Pro,38.0,35880.0,10.0,39468.0,3588.0,9.09,1363440.0,1499784.0,136344.0,,,,Camera
PRODUCT QUOTATION,GAD-013,17013.0,GadgetHub Creator X,15.0,54600.0,10.0,60060.0,5460.0,9.09,819000.0,900900.0,81900.0,,,,Camera
PRODUCT QUOTATION,GAD-014,17014.0,GadgetHub Mechanical Pro,22.0,4472.0,10.0,4919.2,447.2,9.09,98384.0,108222.4,9838.4,,,,Keyboard
PRODUCT QUOTATION,GAD-015,17015.0,GadgetHub Ergo Pro,29.0,1820.0,10.0,2002.0,182.0,9.09,52780.0,58058.0,5278.0,,,,Mouse
PRODUCT QUOTATION,GAD-016,17016.0,GadgetHub View 27,36.0,15288.0,10.0,16816.8,1528.8,9.09,550368.0,605404.8,55036.8,,,,Monitor
PRODUCT QUOTATION,GAD-017,17017.0,GadgetHub UltraView 32,13.0,27040.0,10.0,29744.0,2704.0,9.09,351520.0,386672.0,35152.0,,,,Monitor
PRODUCT QUOTATION,GAD-018,17018.0,GadgetHub Tab Air,20.0,17992.0,10.0,19791.2,1799.2,9.09,359840.0,395824.0,35984.0,,,,Tablet
PRODUCT QUOTATION,GAD-019,17019.0,GadgetHub Tab Pro,27.0,29640.0,10.0,32604.0,2964.0,9.09,800280.0,880308.0,80028.0,,,,Tablet
PRODUCT QUOTATION,GAD-020,17020.0,GadgetHub Sound Pro,34.0,6292.0,10.0,6921.2,629.2,9.09,213928.0,235320.8,21392.8,,,,Speaker
PRODUCT QUOTATION,GAD-021,17021.0,GadgetHub GamePad X,11.0,3536.0,10.0,3889.6,353.6,9.09,38896.0,42785.6,3889.6,,,,Gaming
PRODUCT QUOTATION,GAD-022,17022.0,GadgetHub GameStation,18.0,44720.0,10.0,49192.0,4472.0,9.09,804960.0,885456.0,80496.0,,,,Gaming
PRODUCT QUOTATION,GAD-023,17023.0,GadgetHub Vision 55,25.0,44720.0,10.0,49192.0,4472.0,9.09,1118000.0,1229800.0,111800.0,,,,TV
PRODUCT QUOTATION,GAD-024,17024.0,GadgetHub Laptop Carry,32.0,1820.0,10.0,2002.0,182.0,9.09,58240.0,64064.0,5824.0,,,,Bag
PRODUCT QUOTATION,GAD-025,17025.0,GadgetHub Mesh Pro,39.0,5356.0,10.0,5891.6,535.6,9.09,208884.0,229772.4,20888.4,,,,Router
PRODUCT QUOTATION,GAD-026,17026.0,GadgetHub PowerBoost 20000,16.0,2267.2,10.0,2493.92,226.72,9.09,36275.2,39902.72,3627.52,,,,Power
WARRANTY OPTIONS,,,,,,,,,,,,Category,1-Year Extended (INR),2-Year Extended (INR),,
WARRANTY OPTIONS,,,,,,,,,,,,Laptop,499,899,,
WARRANTY OPTIONS,,,,,,,,,,,,Phone,299,549,,
WARRANTY OPTIONS,,,,,,,,,,,,Camera,399,699,,
WARRANTY OPTIONS,,,,,,,,,,,,Gaming,249,449,,
WARRANTY OPTIONS,,,,,,,,,,,,TV,599,999,,
WARRANTY OPTIONS,,,,,,,,,,,,Tablet,349,599,,
WARRANTY OPTIONS,,,,,,,,,,,,Monitor,299,499,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Primary Category,Recommended Bundle SKU(s),Notes,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Laptop,"Ergo Pro (Mouse), Laptop Carry (Bag)",Pair with any laptop purchase to sweeten an offer without cutting price,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Phone,PowerBoost 20000 (Power Bank),Useful gift-with-purchase for phone buyers,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Camera,"Laptop Carry (Bag, repurposed as camera bag)",No dedicated camera bag SKU yet; existing bag works as a stopgap bundle item,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Gaming,GamePad X (for GameStation purchases),Cross-sell within the gaming category,,
ACCESSORY BUNDLE MAP,,,,,,,,,,,,Tablet,PowerBoost 20000 (Power Bank),Extends tablet battery life on the go,,
PROFITABILITY SUMMARY,,,,,,,,,,,,TOTAL STOCK UNITS,631,All products,,
PROFITABILITY SUMMARY,,,,,,,,,,,,TOTAL WHOLESALE INVENTORY COST,16496251.2,Cost of current listed stock,,
PROFITABILITY SUMMARY,,,,,,,,,,,,TOTAL EXPECTED SALES REVENUE,18145876.32,If all current stock sells at target price,,
PROFITABILITY SUMMARY,,,,,,,,,,,,TOTAL GROSS PROFIT BEFORE SHOP EXPENSES,1649625.12,10% markup on wholesale cost,,
PROFITABILITY SUMMARY,,,,,,,,,,,,MONTHLY SHOP OPERATING EXPENSES,175000,Assumptions below,,
PROFITABILITY SUMMARY,,,,,,,,,,,,AVERAGE MONTHLY OVERHEAD PER CURRENT STOCK UNIT,277.34,Monthly expenses / 631 units,,
PROFITABILITY SUMMARY,,,,,,,,,,,,NET PROFIT AFTER MONTHLY SHOP EXPENSES,1474625.12,Only if all current stock sells within the month,,
PROFITABILITY SUMMARY,,,,,,,,,,,,NET PROFIT MARGIN,8.13,Net profit / expected revenue,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Shop rent / lease,60000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Electricity,12000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Internet + phone,2000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Shop staff salaries,50000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Security / housekeeping,10000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Shop maintenance / repairs,10000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Packaging / bags / consumables,5000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Local transport / delivery,8000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Marketing / promotions,10000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,POS / software / subscriptions,3000,Monthly assumption,,
MONTHLY SHOP EXPENSES,,,,,,,,,,,,Miscellaneous / contingency,5000,Monthly assumption,,
