Section,SKU,Product ID,Product,Stock Qty,Wholesale Purchase Price / Unit (INR),Fixed Markup on Wholesale %,Target Selling Price After Bargaining (INR),Gross Profit / Unit (INR),Gross Margin on Selling Price %,Total Wholesale Cost for Stock (INR),Expected Revenue if All Stock Sold (INR),Expected Gross Profit if All Stock Sold (INR),Expense,Monthly Amount (INR),Basis,Category
PRODUCT QUOTATION,PRI-001,19001.0,PrimeElectro AeroBook 14,29.0,44640.0,10.0,49104.0,4464.0,9.09,1294560.0,1424016.0,129456.0,,,,Laptop
PRODUCT QUOTATION,PRI-002,19002.0,PrimeElectro ProBook 15,36.0,53010.0,10.0,58311.0,5301.0,9.09,1908360.0,2099196.0,190836.0,,,,Laptop
PRODUCT QUOTATION,PRI-003,19003.0,PrimeElectro UltraBook 13,13.0,59520.0,10.0,65472.0,5952.0,9.09,773760.0,851136.0,77376.0,,,,Laptop
PRODUCT QUOTATION,PRI-004,19004.0,PrimeElectro CreatorBook 16,20.0,69285.0,10.0,76213.5,6928.5,9.09,1385700.0,1524270.0,138570.0,,,,Laptop
PRODUCT QUOTATION,PRI-005,19005.0,PrimeElectro Nova X,27.0,24180.0,10.0,26598.0,2418.0,9.09,652860.0,718146.0,65286.0,,,,Phone
PRODUCT QUOTATION,PRI-006,19006.0,PrimeElectro Nova Pro,34.0,32550.0,10.0,35805.0,3255.0,9.09,1106700.0,1217370.0,110670.0,,,,Phone
PRODUCT QUOTATION,PRI-007,19007.0,PrimeElectro Edge Max,11.0,44640.0,10.0,49104.0,4464.0,9.09,491040.0,540144.0,49104.0,,,,Phone
PRODUCT QUOTATION,PRI-008,19008.0,PrimeElectro Bass ANC,18.0,3999.0,10.0,4398.9,399.9,9.09,71982.0,79180.2,7198.2,,,,Headphones
PRODUCT QUOTATION,PRI-009,19009.0,PrimeElectro Studio Pro,25.0,7347.0,10.0,8081.7,734.7,9.09,183675.0,202042.5,18367.5,,,,Headphones
PRODUCT QUOTATION,PRI-010,19010.0,PrimeElectro Fit Active,32.0,3999.0,10.0,4398.9,399.9,9.09,127968.0,140764.8,12796.8,,,,Watch
PRODUCT QUOTATION,PRI-011,19011.0,PrimeElectro Prime,39.0,7347.0,10.0,8081.7,734.7,9.09,286533.0,315186.3,28653.3,,,,Watch
PRODUCT QUOTATION,PRI-012,19012.0,PrimeElectro Snap Pro,16.0,32085.0,10.0,35293.5,3208.5,9.09,513360.0,564696.0,51336.0,,,,Camera
