Section,SKU,Product ID,Product,Stock Qty,Wholesale Purchase Price / Unit (INR),Fixed Markup on Wholesale %,Target Selling Price After Bargaining (INR),Gross Profit / Unit (INR),Gross Margin on Selling Price %,Total Wholesale Cost for Stock (INR),Expected Revenue if All Stock Sold (INR),Expected Gross Profit if All Stock Sold (INR),Expense,Monthly Amount (INR),Basis,Category
PRODUCT QUOTATION,TEC-001,15001.0,TechZone AeroBook 14,13.0,46560.0,10.0,51216.0,4656.0,9.09,605280.0,665808.0,60528.0,,,,Laptop
PRODUCT QUOTATION,TEC-002,15002.0,TechZone ProBook 15,20.0,55290.0,10.0,60819.0,5529.0,9.09,1105800.0,1216380.0,110580.0,,,,Laptop
PRODUCT QUOTATION,TEC-003,15003.0,TechZone UltraBook 13,27.0,62080.0,10.0,68288.0,6208.0,9.09,1676160.0,1843776.0,167616.0,,,,Laptop
PRODUCT QUOTATION,TEC-004,15004.0,TechZone CreatorBook 16,34.0,72265.0,10.0,79491.5,7226.5,9.09,2457010.0,2702711.0,245701.0,,,,Laptop
PRODUCT QUOTATION,TEC-005,15005.0,TechZone Nova X,11.0,25220.0,10.0,27742.0,2522.0,9.09,277420.0,305162.0,27742.0,,,,Phone
PRODUCT QUOTATION,TEC-006,15006.0,TechZone Nova Pro,18.0,33950.0,10.0,37345.0,3395.0,9.09,611100.0,672210.0,61110.0,,,,Phone
PRODUCT QUOTATION,TEC-007,15007.0,TechZone Edge Max,25.0,46560.0,10.0,51216.0,4656.0,9.09,1164000.0,1280400.0,116400.0,,,,Phone
PRODUCT QUOTATION,TEC-008,15008.0,TechZone Bass ANC,32.0,4171.0,10.0,4588.1,417.1,9.09,133472.0,146819.2,13347.2,,,,Headphones
PRODUCT QUOTATION,TEC-009,15009.0,TechZone Studio Pro,39.0,7663.0,10.0,8429.3,766.3,9.09,298857.0,328742.7,29885.7,,,,Headphones
PRODUCT QUOTATION,TEC-010,15010.0,TechZone Fit Active,16.0,4171.0,10.0,4588.1,417.1,9.09,66736.0,73409.6,6673.6,,,,Watch
PRODUCT QUOTATION,TEC-011,15011.0,TechZone Prime,23.0,7663.0,10.0,8429.3,766.3,9.09,176249.0,193873.9,17624.9,,,,Watch
PRODUCT QUOTATION,TEC-012,15012.0,TechZone Snap Pro,30.0,33465.0,10.0,36811.5,3346.5,9.09,1003950.0,1104345.0,100395.0,,,,Camera
PRODUCT QUOTATION,TEC-013,15013.0,TechZone Creator X,37.0,50925.0,10.0,56017.5,5092.5,9.09,1884225.0,2072647.5,188422.5,,,,Camera
PRODUCT QUOTATION,TEC-014,15014.0,TechZone Mechanical Pro,14.0,4171.0,10.0,4588.1,417.1,9.09,58394.0,64233.4,5839.4,,,,Keyboard
PRODUCT QUOTATION,TEC-015,15015.0,TechZone Ergo Pro,21.0,1697.5,10.0,1867.25,169.75,9.09,35647.5,39212.25,3564.75,,,,Mouse
PRODUCT QUOTATION,TEC-016,15016.0,TechZone View 27,28.0,14259.0,10.0,15684.9,1425.9,9.09,399252.0,439177.2,39925.2,,,,Monitor
PRODUCT QUOTATION,TEC-017,15017.0,TechZone UltraView 32,35.0,25220.0,10.0,27742.0,2522.0,9.09,882700.0,970970.0,88270.0,,,,Monitor
PRODUCT QUOTATION,TEC-018,15018.0,TechZone Tab Air,12.0,16781.0,10.0,18459.1,1678.1,9.09,201372.0,221509.2,20137.2,,,,Tablet
PRODUCT QUOTATION,TEC-019,15019.0,TechZone Tab Pro,19.0,27645.0,10.0,30409.5,2764.5,9.09,525255.0,577780.5,52525.5,,,,Tablet
